,county_name,candidatevotes,party,"county, state",State,household internet
0,Abbeville,8215,Republican,"Abbeville, SC",SC,82.0
1,Aiken,51589,Republican,"Aiken, SC",SC,82.0
2,Allendale,2718,Democrat,"Allendale, SC",SC,82.0
3,Anderson,67565,Republican,"Anderson, SC",SC,82.0
4,Bamberg,4010,Democrat,"Bamberg, SC",SC,82.0
5,Barnwell,5492,Republican,"Barnwell, SC",SC,82.0
6,Beaufort,53194,Republican,"Beaufort, SC",SC,82.0
7,Berkeley,57397,Republican,"Berkeley, SC",SC,82.0
8,Charleston,121485,Democrat,"Charleston, SC",SC,82.0
9,Clarendon,8361,Republican,"Clarendon, SC",SC,82.0
10,Colleton,10440,Republican,"Colleton, SC",SC,82.0
11,Darlington,16832,Republican,"Darlington, SC",SC,82.0
12,Dillon,6582,Republican,"Dillon, SC",SC,82.0
13,Dorchester,41913,Republican,"Dorchester, SC",SC,82.0
14,Edgefield,8184,Republican,"Edgefield, SC",SC,82.0
15,Florence,32615,Republican,"Florence, SC",SC,82.0
16,Georgetown,20487,Republican,"Georgetown, SC",SC,82.0
17,Greenville,150021,Republican,"Greenville, SC",SC,82.0
18,Greenwood,19431,Republican,"Greenwood, SC",SC,82.0
19,Hampton,5323,Democrat,"Hampton, SC",SC,82.0
20,Horry,118821,Republican,"Horry, SC",SC,82.0
21,Kershaw,20471,Republican,"Kershaw, SC",SC,82.0
22,Laurens,20004,Republican,"Laurens, SC",SC,82.0
23,Lexington,92817,Republican,"Lexington, SC",SC,82.0
24,Marlboro,6290,Democrat,"Marlboro, SC",SC,82.0
25,Mccormick,2958,Republican,"Mccormick, SC",SC,82.0
26,Newberry,11443,Republican,"Newberry, SC",SC,82.0
27,Oconee,29698,Republican,"Oconee, SC",SC,82.0
28,Orangeburg,27295,Democrat,"Orangeburg, SC",SC,82.0
29,Pickens,42907,Republican,"Pickens, SC",SC,82.0
30,Richland,132570,Democrat,"Richland, SC",SC,82.0
31,Saluda,6210,Republican,"Saluda, SC",SC,82.0
32,Spartanburg,93560,Republican,"Spartanburg, SC",SC,82.0
33,Williamsburg,10289,Democrat,"Williamsburg, SC",SC,82.0
34,Acadia,22596,Republican,"Acadia, LA",LA,79.2
35,Ascension,40687,Republican,"Ascension, LA",LA,79.2
36,Assumption,7271,Republican,"Assumption, LA",LA,79.2
37,Avoyelles,12028,Republican,"Avoyelles, LA",LA,79.2
38,Beauregard,13575,Republican,"Beauregard, LA",LA,79.2
39,Bienville,3891,Republican,"Bienville, LA",LA,79.2
40,Bossier,38074,Republican,"Bossier, LA",LA,79.2
41,Caddo,55110,Democrat,"Caddo, LA",LA,79.2
42,Calcasieu,55066,Republican,"Calcasieu, LA",LA,79.2
43,Catahoula,3541,Republican,"Catahoula, LA",LA,79.2
44,Concordia,5550,Republican,"Concordia, LA",LA,79.2
45,De soto,9112,Republican,"De soto, LA",LA,79.2
46,East baton rouge,115577,Democrat,"East baton rouge, LA",LA,79.2
47,East carroll,1900,Democrat,"East carroll, LA",LA,79.2
48,East feliciana,6064,Republican,"East feliciana, LA",LA,79.2
49,Evangeline,11053,Republican,"Evangeline, LA",LA,79.2
50,Iberia,21251,Republican,"Iberia, LA",LA,79.2
51,Iberville,8514,Democrat,"Iberville, LA",LA,79.2
52,Jefferson davis,11423,Republican,"Jefferson davis, LA",LA,79.2
53,La salle,6378,Republican,"La salle, LA",LA,79.2
54,Lafayette,72519,Republican,"Lafayette, LA",LA,79.2
55,Lafourche,36024,Republican,"Lafourche, LA",LA,79.2
56,Morehouse,6510,Republican,"Morehouse, LA",LA,79.2
57,Natchitoches,9358,Republican,"Natchitoches, LA",LA,79.2
58,Orleans,147854,Democrat,"Orleans, LA",LA,79.2
59,Ouachita,42255,Republican,"Ouachita, LA",LA,79.2
60,Plaquemines,7412,Republican,"Plaquemines, LA",LA,79.2
61,Pointe coupee,7503,Republican,"Pointe coupee, LA",LA,79.2
62,Rapides,38347,Republican,"Rapides, LA",LA,79.2
63,Sabine,8776,Republican,"Sabine, LA",LA,79.2
64,St. bernard,11179,Republican,"St. bernard, LA",LA,79.2
65,St. helena,3346,Democrat,"St. helena, LA",LA,79.2
66,St. james,6510,Democrat,"St. james, LA",LA,79.2
67,St. john the baptist,13582,Democrat,"St. john the baptist, LA",LA,79.2
68,St. landry,23171,Republican,"St. landry, LA",LA,79.2
69,St. martin,18203,Republican,"St. martin, LA",LA,79.2
70,St. mary,14811,Republican,"St. mary, LA",LA,79.2
71,St. tammany,99666,Republican,"St. tammany, LA",LA,79.2
72,Tangipahoa,37806,Republican,"Tangipahoa, LA",LA,79.2
73,Tensas,1329,Democrat,"Tensas, LA",LA,79.2
74,Terrebonne,34339,Republican,"Terrebonne, LA",LA,79.2
75,Vermilion,21930,Republican,"Vermilion, LA",LA,79.2
76,Vernon,14107,Republican,"Vernon, LA",LA,79.2
77,West baton rouge,7684,Republican,"West baton rouge, LA",LA,79.2
78,West carroll,4317,Republican,"West carroll, LA",LA,79.2
79,West feliciana,3863,Republican,"West feliciana, LA",LA,79.2
80,Winn,4619,Republican,"Winn, LA",LA,79.2
81,Accomack,9172,Republican,"Accomack, VA",VA,86.1
82,Albemarle,42466,Democrat,"Albemarle, VA",VA,86.1
83,Alexandria city,66240,Democrat,"Alexandria city, VA",VA,86.1
84,Alleghany,5859,Republican,"Alleghany, VA",VA,86.1
85,Amelia,5390,Republican,"Amelia, VA",VA,86.1
86,Amherst,11041,Republican,"Amherst, VA",VA,86.1
87,Appomattox,6702,Republican,"Appomattox, VA",VA,86.1
88,Arlington,105344,Democrat,"Arlington, VA",VA,86.1
89,Augusta,30714,Republican,"Augusta, VA",VA,86.1
90,Bedford,35600,Republican,"Bedford, VA",VA,86.1
91,Bland,2903,Republican,"Bland, VA",VA,86.1
92,Botetourt,15099,Republican,"Botetourt, VA",VA,86.1
93,Bristol city,5347,Republican,"Bristol city, VA",VA,86.1
94,Buckingham,4544,Republican,"Buckingham, VA",VA,86.1
95,Buena vista city,1863,Republican,"Buena vista city, VA",VA,86.1
96,Charles city,2624,Democrat,"Charles city, VA",VA,86.1
97,Charlottesville city,20696,Democrat,"Charlottesville city, VA",VA,86.1
98,Chesapeake city,66377,Democrat,"Chesapeake city, VA",VA,86.1
99,Chesterfield,106935,Democrat,"Chesterfield, VA",VA,86.1
100,Colonial heights city,6007,Republican,"Colonial heights city, VA",VA,86.1
101,Covington city,1580,Republican,"Covington city, VA",VA,86.1
102,Culpeper,16012,Republican,"Culpeper, VA",VA,86.1
103,Danville city,11710,Democrat,"Danville city, VA",VA,86.1
104,Dickenson,5748,Republican,"Dickenson, VA",VA,86.1
105,Dinwiddie,8695,Republican,"Dinwiddie, VA",VA,86.1
106,Emporia city,1612,Democrat,"Emporia city, VA",VA,86.1
107,Fairfax,419943,Democrat,"Fairfax, VA",VA,86.1
108,Fairfax city,9174,Democrat,"Fairfax city, VA",VA,86.1
109,Falls church city,7146,Democrat,"Falls church city, VA",VA,86.1
110,Fauquier,25106,Republican,"Fauquier, VA",VA,86.1
111,Fluvanna,8155,Republican,"Fluvanna, VA",VA,86.1
112,Franklin city,2525,Democrat,"Franklin city, VA",VA,86.1
113,Fredericksburg city,8517,Democrat,"Fredericksburg city, VA",VA,86.1
114,Galax city,1838,Republican,"Galax city, VA",VA,86.1
115,Goochland,9966,Republican,"Goochland, VA",VA,86.1
116,Greensville,2627,Democrat,"Greensville, VA",VA,86.1
117,Hampton city,46220,Democrat,"Hampton city, VA",VA,86.1
118,Hanover,44318,Republican,"Hanover, VA",VA,86.1
119,Harrisonburg city,11022,Democrat,"Harrisonburg city, VA",VA,86.1
120,Henrico,116572,Democrat,"Henrico, VA",VA,86.1
121,Hopewell city,5430,Democrat,"Hopewell city, VA",VA,86.1
122,Isle of wight,13707,Republican,"Isle of wight, VA",VA,86.1
123,James city,25553,Democrat,"James city, VA",VA,86.1
124,King and queen,2450,Republican,"King and queen, VA",VA,86.1
125,King george,8446,Republican,"King george, VA",VA,86.1
126,King william,7320,Republican,"King william, VA",VA,86.1
127,Lexington city,1791,Democrat,"Lexington city, VA",VA,86.1
128,Loudoun,138372,Democrat,"Loudoun, VA",VA,86.1
129,Louisa,13294,Republican,"Louisa, VA",VA,86.1
130,Lunenburg,3537,Republican,"Lunenburg, VA",VA,86.1
131,Lynchburg city,18048,Democrat,"Lynchburg city, VA",VA,86.1
132,Manassas city,10356,Democrat,"Manassas city, VA",VA,86.1
133,Manassas park city,3992,Democrat,"Manassas park city, VA",VA,86.1
134,Martinsville city,3766,Democrat,"Martinsville city, VA",VA,86.1
135,Mathews,3901,Republican,"Mathews, VA",VA,86.1
136,New kent,9631,Republican,"New kent, VA",VA,86.1
137,Newport news city,53099,Democrat,"Newport news city, VA",VA,86.1
138,Norfolk city,64440,Democrat,"Norfolk city, VA",VA,86.1
139,Norton city,1109,Republican,"Norton city, VA",VA,86.1
140,Nottoway,4027,Republican,"Nottoway, VA",VA,86.1
141,Page,9345,Republican,"Page, VA",VA,86.1
142,Patrick,7485,Republican,"Patrick, VA",VA,86.1
143,Petersburg city,12389,Democrat,"Petersburg city, VA",VA,86.1
144,Pittsylvania,23751,Republican,"Pittsylvania, VA",VA,86.1
145,Poquoson city,5605,Republican,"Poquoson city, VA",VA,86.1
146,Portsmouth city,30948,Democrat,"Portsmouth city, VA",VA,86.1
147,Powhatan,14055,Republican,"Powhatan, VA",VA,86.1
148,Prince edward,4973,Democrat,"Prince edward, VA",VA,86.1
149,Prince george,10103,Republican,"Prince george, VA",VA,86.1
150,Prince william,142863,Democrat,"Prince william, VA",VA,86.1
151,Radford city,3358,Democrat,"Radford city, VA",VA,86.1
152,Rappahannock,2812,Republican,"Rappahannock, VA",VA,86.1
153,Richmond city,92175,Democrat,"Richmond city, VA",VA,86.1
154,Roanoke,34268,Republican,"Roanoke, VA",VA,86.1
155,Roanoke city,26773,Democrat,"Roanoke city, VA",VA,86.1
156,Rockbridge,8088,Republican,"Rockbridge, VA",VA,86.1
157,Salem city,7683,Republican,"Salem city, VA",VA,86.1
158,Shenandoah,16463,Republican,"Shenandoah, VA",VA,86.1
159,Smyth,10963,Republican,"Smyth, VA",VA,86.1
160,Southampton,5730,Republican,"Southampton, VA",VA,86.1
161,Spotsylvania,39411,Republican,"Spotsylvania, VA",VA,86.1
162,Stafford,40245,Democrat,"Stafford, VA",VA,86.1
163,Staunton city,6981,Democrat,"Staunton city, VA",VA,86.1
164,Suffolk city,28676,Democrat,"Suffolk city, VA",VA,86.1
165,Virginia beach city,117393,Democrat,"Virginia beach city, VA",VA,86.1
166,Waynesboro city,5507,Republican,"Waynesboro city, VA",VA,86.1
167,Williamsburg city,4790,Democrat,"Williamsburg city, VA",VA,86.1
168,Winchester city,6610,Democrat,"Winchester city, VA",VA,86.1
169,Wythe,11733,Republican,"Wythe, VA",VA,86.1
170,Ada,130699,Republican,"Ada, ID",ID,88.0
171,Bannock,23331,Republican,"Bannock, ID",ID,88.0
172,Bear lake,2914,Republican,"Bear lake, ID",ID,88.0
173,Benewah,3878,Republican,"Benewah, ID",ID,88.0
174,Bingham,15295,Republican,"Bingham, ID",ID,88.0
175,Blaine,8919,Democrat,"Blaine, ID",ID,88.0
176,Boise,3485,Republican,"Boise, ID",ID,88.0
177,Bonner,18369,Republican,"Bonner, ID",ID,88.0
178,Bonneville,37805,Republican,"Bonneville, ID",ID,88.0
179,Boundary,4937,Republican,"Boundary, ID",ID,88.0
180,Camas,507,Republican,"Camas, ID",ID,88.0
181,Canyon,61759,Republican,"Canyon, ID",ID,88.0
182,Caribou,2906,Republican,"Caribou, ID",ID,88.0
183,Cassia,7907,Republican,"Cassia, ID",ID,88.0
184,Clearwater,3453,Republican,"Clearwater, ID",ID,88.0
185,Gem,7951,Republican,"Gem, ID",ID,88.0
186,Gooding,4659,Republican,"Gooding, ID",ID,88.0
187,Idaho,7826,Republican,"Idaho, ID",ID,88.0
188,Jerome,5734,Republican,"Jerome, ID",ID,88.0
189,Kootenai,62837,Republican,"Kootenai, ID",ID,88.0
190,Latah,10236,Democrat,"Latah, ID",ID,88.0
191,Lemhi,3592,Republican,"Lemhi, ID",ID,88.0
192,Minidoka,6265,Republican,"Minidoka, ID",ID,88.0
193,Nez perce,13738,Republican,"Nez perce, ID",ID,88.0
194,Owyhee,3819,Republican,"Owyhee, ID",ID,88.0
195,Payette,8862,Republican,"Payette, ID",ID,88.0
196,Power,2116,Republican,"Power, ID",ID,88.0
197,Shoshone,4216,Republican,"Shoshone, ID",ID,88.0
198,Twin falls,25897,Republican,"Twin falls, ID",ID,88.0
199,Valley,3947,Republican,"Valley, ID",ID,88.0
200,Adair,7276,Republican,"Adair, KY",KY,82.3
201,Ballard,3356,Republican,"Ballard, KY",KY,82.3
202,Barren,14654,Republican,"Barren, KY",KY,82.3
203,Bath,3986,Republican,"Bath, KY",KY,82.3
204,Bourbon,6190,Republican,"Bourbon, KY",KY,82.3
205,Boyd,14295,Republican,"Boyd, KY",KY,82.3
206,Boyle,8872,Republican,"Boyle, KY",KY,82.3
207,Bracken,3398,Republican,"Bracken, KY",KY,82.3
208,Breathitt,4265,Republican,"Breathitt, KY",KY,82.3
209,Breckinridge,7701,Republican,"Breckinridge, KY",KY,82.3
210,Bullitt,30708,Republican,"Bullitt, KY",KY,82.3
211,Calloway,11351,Republican,"Calloway, KY",KY,82.3
212,Campbell,28482,Republican,"Campbell, KY",KY,82.3
213,Carlisle,2159,Republican,"Carlisle, KY",KY,82.3
214,Casey,6179,Republican,"Casey, KY",KY,82.3
215,Daviess,31023,Republican,"Daviess, KY",KY,82.3
216,Edmonson,4828,Republican,"Edmonson, KY",KY,82.3
217,Elliott,2246,Republican,"Elliott, KY",KY,82.3
218,Estill,5100,Republican,"Estill, KY",KY,82.3
219,Fayette,90566,Democrat,"Fayette, KY",KY,82.3
220,Fleming,5534,Republican,"Fleming, KY",KY,82.3
221,Garrard,6754,Republican,"Garrard, KY",KY,82.3
222,Graves,13206,Republican,"Graves, KY",KY,82.3
223,Greenup,13064,Republican,"Greenup, KY",KY,82.3
224,Hardin,29832,Republican,"Hardin, KY",KY,82.3
225,Harlan,9367,Republican,"Harlan, KY",KY,82.3
226,Hopkins,15757,Republican,"Hopkins, KY",KY,82.3
227,Jefferson,228288,Democrat,"Jefferson, KY",KY,82.3
228,Jessamine,17096,Republican,"Jessamine, KY",KY,82.3
229,Kenton,48123,Republican,"Kenton, KY",KY,82.3
230,Knott,4779,Republican,"Knott, KY",KY,82.3
231,Larue,5685,Republican,"Larue, KY",KY,82.3
232,Laurel,23234,Republican,"Laurel, KY",KY,82.3
233,Leslie,4321,Republican,"Leslie, KY",KY,82.3
234,Letcher,7226,Republican,"Letcher, KY",KY,82.3
235,Magoffin,4174,Republican,"Magoffin, KY",KY,82.3
236,Mccracken,21820,Republican,"Mccracken, KY",KY,82.3
237,Mccreary,5664,Republican,"Mccreary, KY",KY,82.3
238,Meade,10184,Republican,"Meade, KY",KY,82.3
239,Menifee,2311,Republican,"Menifee, KY",KY,82.3
240,Metcalfe,3959,Republican,"Metcalfe, KY",KY,82.3
241,Muhlenberg,10496,Republican,"Muhlenberg, KY",KY,82.3
242,Nelson,15703,Republican,"Nelson, KY",KY,82.3
243,Oldham,22651,Republican,"Oldham, KY",KY,82.3
244,Owsley,1670,Republican,"Owsley, KY",KY,82.3
245,Pendleton,5515,Republican,"Pendleton, KY",KY,82.3
